Columns,Correlation Ratio,Target Column
Properties Sampled,2.218620774856805e-06,Effective RPSF
Ora Score,2.0919008632003026e-06,Effective RPSF
QoQ Ora Score Change,1.3353827654851178e-06,Effective RPSF
Category_Unit Type,1.2068187855417151e-06,Effective RPSF
YoY Ora Score Change,1.050214617901397e-06,Effective RPSF
Niche_3 BR,6.267051973872111e-07,Effective RPSF
Niche_Eff,4.34794515000033e-07,Effective RPSF
Niche_2000s,2.4120942064745567e-07,Effective RPSF
Niche_2 BR,2.398763726518362e-07,Effective RPSF
Niche_1980s,2.394957180125419e-07,Effective RPSF
Niche_Class A,1.8145781953145188e-07,Effective RPSF
Niche_2010s,1.39794250809484e-07,Effective RPSF
Niche_2020+,8.018566311016897e-08,Effective RPSF
Niche_1990s,6.823643537965432e-08,Effective RPSF
Niche_High-Rise,5.6662593111060785e-08,Effective RPSF
Niche_Class B,5.210944304069441e-08,Effective RPSF
Niche_1970s,3.90332416793412e-08,Effective RPSF
New Lease Applications per Unit,3.784107664898041e-08,Effective RPSF
Annual Transaction Volume ($),3.707810240579863e-08,Effective RPSF
Annual Cap Rate,3.702758692847291e-08,Effective RPSF
Annual Price per Unit,3.549974045003079e-08,Effective RPSF
YoY Rent Roll Change (Rev / OSF),3.499208097431969e-08,Effective RPSF
Rate Change (Trade Out),3.449980515525773e-08,Effective RPSF
Existing Units,3.269399283293334e-08,Effective RPSF
New Lease Term,3.088110858811296e-08,Effective RPSF
Annual Transaction Volume (#),3.0836350772954825e-08,Effective RPSF
Rent Roll (Rev / OSF),2.913684086180216e-08,Effective RPSF
Revenue (Rev / ASF),2.80187407094754e-08,Effective RPSF
Niche_Mid-Rise,2.7608979421045605e-08,Effective RPSF
Signed Renewal Leases per Unit,2.728939520042072e-08,Effective RPSF
YoY Revenue Change (Rev / ASF),2.691623869659217e-08,Effective RPSF
YoY Renewal Conversion Change,2.6580871621441233e-08,Effective RPSF
Niche_Class C,2.5417337524599695e-08,Effective RPSF
Average Vacant Days,2.469356447887509e-08,Effective RPSF
Renewal Conversion,2.468730394070653e-08,Effective RPSF
Renewal Lease Term,2.299656345361021e-08,Effective RPSF
New Lease Rate Change (Trade Out),2.2710410420158806e-08,Effective RPSF
Renewal Lease Rate Change (Trade Out),2.015544509244607e-08,Effective RPSF
Niche_Totals,1.6487173248359218e-08,Effective RPSF
Category_Totals,1.4462160090638481e-08,Effective RPSF
Leads (Guest Cards) per Unit,4.8411979256386884e-09,Effective RPSF
Administrative Expenses %,4.3323472987192955e-09,Effective RPSF
Niche_Low-Rise,4.244912348889241e-09,Effective RPSF
Insurance per Unit,3.5984999321222463e-09,Effective RPSF
Operating and Maintenance per Unit,2.7815509349099543e-09,Effective RPSF
Marketing Expenses %,2.5093386759341098e-09,Effective RPSF
Operating and Maintenance %,2.228942074048545e-09,Effective RPSF
Turnover Costs per Unit,2.1625513810009197e-09,Effective RPSF
Turnover Costs %,2.0325783853100295e-09,Effective RPSF
Marketing Expenses per Unit,2.0166211184071178e-09,Effective RPSF
Utilities %,1.9238321236808858e-09,Effective RPSF
Management Fees per Unit,1.9217601440899362e-09,Effective RPSF
Expense per Unit,1.559854608025062e-09,Effective RPSF
Expense % of Revenue,1.4887551295999117e-09,Effective RPSF
Payroll and Related Expenses %,1.2498581470893476e-09,Effective RPSF
YoY Noi Change per Unit (%),1.1697769136086968e-09,Effective RPSF
Taxes per Unit,1.1686401356454224e-09,Effective RPSF
Administrative Expenses per Unit,1.1488266231464938e-09,Effective RPSF
Utilities per Unit,1.1196615873990068e-09,Effective RPSF
NOI % of Revenue,1.1153821152246463e-09,Effective RPSF
YoY Expense Change per Unit (%),1.0601172692763862e-09,Effective RPSF
NOI per Unit,9.55668355894631e-10,Effective RPSF
Management Fees %,8.011523824786827e-10,Effective RPSF
Payroll and Related Expenses per Unit,7.506799803430299e-10,Effective RPSF
Taxes %,7.403416262155346e-10,Effective RPSF
Insurance %,7.080621877870353e-10,Effective RPSF
YoY Single-Family Permits Change,5.414580085176706e-10,Effective RPSF
YoY Employment Change (%),4.4150513586686853e-10,Effective RPSF
Annual Single-Family Permits,4.33774883459643e-10,Effective RPSF
YoY Total Permits Change,3.673730684400746e-10,Effective RPSF
Quarterly Total Permits,3.3938393213977563e-10,Effective RPSF
MoM Employment Change (#),3.364215066811614e-10,Effective RPSF
Quarterly Single-Family Permits,3.2973130345809706e-10,Effective RPSF
Monthly Single-Family Permits,3.083519128118034e-10,Effective RPSF
YoY Multifamily Permits Change,2.7207014993828614e-10,Effective RPSF
MoM Multifamily Permits Change,2.67387288266149e-10,Effective RPSF
Annual Multifamily Permits,2.50419213483835e-10,Effective RPSF
MoM Employment Change (%),2.4021932997641417e-10,Effective RPSF
Total Employment,2.2730167922404652e-10,Effective RPSF
QoQ Multifamily Permits Change,2.1925027680879127e-10,Effective RPSF
MoM Total Permits Change,2.1827488400347177e-10,Effective RPSF
Monthly Total Permits,2.1787723176687745e-10,Effective RPSF
QoQ Employment Change (%),2.1672507395145913e-10,Effective RPSF
Monthly Multifamily Permits,2.0348279912023124e-10,Effective RPSF
Quarterly Multifamily Permits,1.991217732971813e-10,Effective RPSF
QoQ Single-Family Permits Change,1.9879439768742342e-10,Effective RPSF
YoY Employment Change (#),1.877446312038915e-10,Effective RPSF
QoQ Total Permits Change,1.6248422604949563e-10,Effective RPSF
QoQ Employment Change (#),1.4597792386747402e-10,Effective RPSF
MoM Single-Family Permits Change,1.3049343547004265e-10,Effective RPSF
Annual Total Permits,1.1012931299568485e-10,Effective RPSF
Annual Net Supply,0,Effective RPSF
Average Monthly Income,0,Effective RPSF
Quarterly Supply,0,Effective RPSF
Quarterly Net Inventory Ratio,0,Effective RPSF
Quarterly Net Inventory,0,Effective RPSF
Quarterly Removals,0,Effective RPSF
Median Rent-to-Income Ratio,0,Effective RPSF
Annual Supply,0,Effective RPSF
Annual Removals,0,Effective RPSF
Property Starts,0,Effective RPSF
Annual Property Starts,0,Effective RPSF
Unit Starts,0,Effective RPSF
Annual Unit Starts,0,Effective RPSF
Units Under Construction,0,Effective RPSF
Annual Demand,0,Effective RPSF
Annual Net Inventory Ratio,0,Effective RPSF
Quarterly Demand,0,Effective RPSF
Other Expenses per Unit,0,Effective RPSF
Other Expenses %,0,Effective RPSF
Month,0.0715981,Occupancy Change
YoY Occupancy Change,0.066457877,Occupancy Change
Vacancy,0.0594502,Occupancy Change
Occupancy,0.056708353841083026,Occupancy Change
Effective Rent Change,0.053290852287861394,Occupancy Change
Year,0.050679475234398724,Occupancy Change
Asking Rent Change,0.045265418,Occupancy Change
Effective Rent Change 1,0.042911261137546966,Occupancy Change
Asking Rent Change 1,0.041848038331394014,Occupancy Change
Effective RPSF,0.039748767,Occupancy Change
YoY Asking Rent Change 1,0.039154565,Occupancy Change
Asking RPSF,0.038617432191091206,Occupancy Change
Asking Rent,0.034828125,Occupancy Change
YoY Effective Rent Change 1,0.034474213,Occupancy Change
Effective Rent,0.033590865,Occupancy Change
Yoy Asking Rent Change,0.031621221104326025,Occupancy Change
YoY Effective Rent Change,0.030510948338633766,Occupancy Change
YoY Occupancy Change 1,0.028757321862607096,Occupancy Change
ZIP Code,0.021750679983373798,Occupancy Change
Average Year Built of Sample,0.020560075086811225,Occupancy Change
Average Unit Size (SF),0.020270456659462227,Occupancy Change
Units Sampled,0.019797428870460394,Occupancy Change
Percent Sampled,0.016181938926648397,Occupancy Change
Annual Units Sampled,0.015504289337472117,Occupancy Change
Units Sampled 1,0.013939043361411867,Occupancy Change
Concession ($),0.010228037578711593,Occupancy Change
Percent of Units Offering Concessions,0.009037655,Occupancy Change
Concession (% of Asking Rent),0.008322924,Occupancy Change
Ora Score,0.006187012,Occupancy Change
QoQ Ora Score Change,0.005225775,Occupancy Change
Annual Properties Sampled,0.004993347,Occupancy Change
YoY Ora Score Change,0.004000017,Occupancy Change
Properties Sampled 1,0.003649577,Occupancy Change
Properties Sampled,0.002998913,Occupancy Change
Category_Unit Type,0.001439024,Occupancy Change
Niche_2 BR,0.00128482,Occupancy Change
Annual Price per Unit,0.001276046,Occupancy Change
Niche_1990s,0.001104063,Occupancy Change
Niche_3 BR,0.000995781,Occupancy Change
Annual Transaction Volume ($),0.000951083,Occupancy Change
Niche_Eff,0.000910992,Occupancy Change
Niche_1970s,0.000854934,Occupancy Change
Niche_Mid-Rise,0.000846645,Occupancy Change
Niche_2010s,0.000827117,Occupancy Change
Niche_1980s,0.000784715,Occupancy Change
Category_Year Built,0.000754307,Occupancy Change
Niche_Low-Rise,0.000629808,Occupancy Change
Niche_2000s,0.000601037,Occupancy Change
Existing Units,0.000542868,Occupancy Change
Niche_Class B,0.000475754,Occupancy Change
Annual Cap Rate,0.000457485,Occupancy Change
Niche_Pre-1970,0.000452866,Occupancy Change
Niche_Class A,0.000424303,Occupancy Change
Category_Class,0.000375233,Occupancy Change
Niche_Class C,0.000368214,Occupancy Change
Niche_High-Rise,0.000358495,Occupancy Change
Annual Transaction Volume (#),0.000342489,Occupancy Change
Niche_2020+,0.000103542,Occupancy Change
New Lease Rate Change (Trade Out),0.000102751,Occupancy Change
Renewal Conversion,8.955748326411686e-05,Occupancy Change
Renewal Lease Term,6.112308142184772e-05,Occupancy Change
Average Vacant Days,6.0052549136855305e-05,Occupancy Change
New Lease Applications per Unit,3.691723357346013e-05,Occupancy Change
Rate Change (Trade Out),3.613094516671542e-05,Occupancy Change
Signed Renewal Leases per Unit,3.527568908319288e-05,Occupancy Change
YoY Renewal Conversion Change,3.22003197436665e-05,Occupancy Change
Niche_Totals,3.1850797078962887e-05,Occupancy Change
Category_Totals,3.119587288336996e-05,Occupancy Change
Renewal Lease Rate Change (Trade Out),3.106554881104903e-05,Occupancy Change
YoY Revenue Change (Rev / ASF),2.8223871596710933e-05,Occupancy Change
New Lease Term,2.649915320548131e-05,Occupancy Change
YoY Rent Roll Change (Rev / OSF),2.5218243955585836e-05,Occupancy Change
Rent Roll (Rev / OSF),2.037457571109656e-05,Occupancy Change
Revenue (Rev / ASF),1.9555459840720387e-05,Occupancy Change
Leads (Guest Cards) per Unit,1.0034398810275937e-06,Occupancy Change
Payroll and Related Expenses per Unit,4.516610743939919e-07,Occupancy Change
Turnover Costs per Unit,4.405780196042921e-07,Occupancy Change
YoY Expense Change per Unit (%),4.0976473874128784e-07,Occupancy Change
NOI per Unit,4.076292147260389e-07,Occupancy Change
Operating and Maintenance %,3.887084106825801e-07,Occupancy Change
Expense % of Revenue,3.8048655724227894e-07,Occupancy Change
Utilities per Unit,3.6725634255323437e-07,Occupancy Change
Turnover Costs %,3.618506397171285e-07,Occupancy Change
Utilities %,3.5830096375000625e-07,Occupancy Change
Taxes %,3.3906932131370676e-07,Occupancy Change
NOI % of Revenue,3.3733954861385873e-07,Occupancy Change
Marketing Expenses %,3.2532000579100545e-07,Occupancy Change
Administrative Expenses %,3.1956309350405886e-07,Occupancy Change
YoY Noi Change per Unit (%),3.094727538732033e-07,Occupancy Change
Insurance %,2.9839926243546636e-07,Occupancy Change
Payroll and Related Expenses %,2.9739119896549235e-07,Occupancy Change
Administrative Expenses per Unit,2.8390993174756446e-07,Occupancy Change
Expense per Unit,2.787894649221043e-07,Occupancy Change
Operating and Maintenance per Unit,2.7082205179575375e-07,Occupancy Change
Management Fees %,2.417191553580434e-07,Occupancy Change
Monthly Multifamily Permits,2.2821561222503257e-07,Occupancy Change
Management Fees per Unit,2.1199285094904152e-07,Occupancy Change
Insurance per Unit,2.1141331413123837e-07,Occupancy Change
Marketing Expenses per Unit,2.059023639382602e-07,Occupancy Change
MoM Employment Change (#),1.376580048820663e-07,Occupancy Change
Taxes per Unit,1.3378939479391467e-07,Occupancy Change
QoQ Multifamily Permits Change,1.2413963971336322e-07,Occupancy Change
Quarterly Single-Family Permits,1.0936795646611004e-07,Occupancy Change
MoM Single-Family Permits Change,1.0472256212792203e-07,Occupancy Change
QoQ Employment Change (%),8.743159072988044e-08,Occupancy Change
QoQ Total Permits Change,8.52168373645973e-08,Occupancy Change
Annual Multifamily Permits,5.7029295788370673e-08,Occupancy Change
MoM Multifamily Permits Change,5.2112938503112337e-08,Occupancy Change
Annual Single-Family Permits,5.088846207859932e-08,Occupancy Change
YoY Employment Change (#),4.5996883236275087e-08,Occupancy Change
MoM Total Permits Change,4.5165380435293074e-08,Occupancy Change
Quarterly Multifamily Permits,4.208855041089159e-08,Occupancy Change
MoM Employment Change (%),4.103450726634881e-08,Occupancy Change
Quarterly Total Permits,4.087901259619542e-08,Occupancy Change
Monthly Total Permits,3.909659698706471e-08,Occupancy Change
Total Employment,3.653978768221577e-08,Occupancy Change
QoQ Single-Family Permits Change,3.5524669091759753e-08,Occupancy Change
YoY Employment Change (%),3.213868140064825e-08,Occupancy Change
Annual Total Permits,3.006997900099988e-08,Occupancy Change
QoQ Employment Change (#),3.006106531190126e-08,Occupancy Change
YoY Total Permits Change,2.883395463426391e-08,Occupancy Change
Monthly Single-Family Permits,2.3843724740891354e-08,Occupancy Change
YoY Multifamily Permits Change,2.211641408084172e-08,Occupancy Change
YoY Single-Family Permits Change,2.0736142572351227e-08,Occupancy Change
Other Expenses per Unit,0,Occupancy Change
Annual Property Starts,0,Occupancy Change
Other Expenses %,0,Occupancy Change
Annual Net Supply,0,Occupancy Change
Annual Unit Starts,0,Occupancy Change
Units Under Construction,0,Occupancy Change
Annual Demand,0,Occupancy Change
Annual Net Inventory Ratio,0,Occupancy Change
Quarterly Demand,0,Occupancy Change
Property Starts,0,Occupancy Change
Annual Removals,0,Occupancy Change
Median Rent-to-Income Ratio,0,Occupancy Change
Annual Supply,0,Occupancy Change
Quarterly Removals,0,Occupancy Change
Unit Starts,0,Occupancy Change
Quarterly Net Inventory,0,Occupancy Change
Quarterly Supply,0,Occupancy Change
Average Monthly Income,0,Occupancy Change
Quarterly Net Inventory Ratio,0,Occupancy Change
Vacancy,0.9951928620977466,Occupancy
Units Sampled,0.002789426,Occupancy
Properties Sampled 1,0.000503505,Occupancy
Average Unit Size (SF),0.000392628,Occupancy
ZIP Code,0.000357282,Occupancy
Properties Sampled,0.000345743,Occupancy
Units Sampled 1,0.000316397,Occupancy
Average Year Built of Sample,3.590889091714267e-05,Occupancy
Year,2.21580872154736e-05,Occupancy
Annual Units Sampled,8.323690024322096e-06,Occupancy
Niche_1980s,8.199328202255789e-06,Occupancy
Category_Unit Type,6.519749065882782e-06,Occupancy
Effective RPSF,2.0988570549034684e-06,Occupancy
Asking Rent,1.7942690177563033e-06,Occupancy
YoY Asking Rent Change 1,1.6566108291927067e-06,Occupancy
Asking RPSF,1.5941457675706387e-06,Occupancy
YoY Effective Rent Change,1.3460639826145844e-06,Occupancy
YoY Effective Rent Change 1,1.2747838950356836e-06,Occupancy
Effective Rent,1.1988129663039454e-06,Occupancy
Effective Rent Change 1,1.1415480390678328e-06,Occupancy
YoY Occupancy Change,1.121088094959559e-06,Occupancy
Yoy Asking Rent Change,1.1007199852657666e-06,Occupancy
Niche_2 BR,8.405103280782508e-07,Occupancy
Annual Properties Sampled,7.944289356310143e-07,Occupancy
YoY Occupancy Change 1,7.480408053461854e-07,Occupancy
Month,7.341231362733035e-07,Occupancy
Occupancy Change,6.941137108780049e-07,Occupancy
Effective Rent Change,6.489603108356443e-07,Occupancy
Asking Rent Change 1,4.5729166082020135e-07,Occupancy
Asking Rent Change,4.3082099552626093e-07,Occupancy
Percent Sampled,3.8547894785743803e-07,Occupancy
Category_Year Built,3.1339952067296407e-07,Occupancy
Concession ($),2.0186626514972588e-07,Occupancy
Percent of Units Offering Concessions,1.9704230384521607e-07,Occupancy
Concession (% of Asking Rent),9.632246799572707e-08,Occupancy
Niche_Eff,7.730880735394547e-08,Occupancy
Niche_Class A,4.153851056032729e-08,Occupancy
Niche_3 BR,1.6267615043477014e-08,Occupancy
Ora Score,1.4130511028706415e-08,Occupancy
YoY Ora Score Change,9.73279958831261e-09,Occupancy
Category_Class,6.651163479298939e-09,Occupancy
Niche_2010s,4.61299405643481e-09,Occupancy
QoQ Ora Score Change,3.307813484180252e-09,Occupancy
Annual Transaction Volume (#),1.0095225009344885e-09,Occupancy
Niche_Low-Rise,8.684637718737938e-10,Occupancy
Niche_2000s,7.550780305130657e-10,Occupancy
Niche_Totals,3.5336513852488504e-10,Occupancy
Annual Price per Unit,3.3358061400399436e-10,Occupancy
Niche_High-Rise,3.206001497204004e-10,Occupancy
Niche_Class C,2.9894114761515357e-10,Occupancy
Niche_Class B,1.4853197536224148e-10,Occupancy
Annual Transaction Volume ($),1.3376678074858328e-10,Occupancy
Existing Units,5.152867206221944e-11,Occupancy
Niche_Mid-Rise,4.38742134380369e-11,Occupancy
Category_Totals,3.346131970925771e-11,Occupancy
Average Vacant Days,5.904476856321615e-13,Occupancy
YoY Renewal Conversion Change,4.614066686803142e-13,Occupancy
Revenue (Rev / ASF),4.1470745508725397e-13,Occupancy
Renewal Lease Rate Change (Trade Out),3.6328471047231843e-13,Occupancy
New Lease Term,3.6290237084156137e-13,Occupancy
Rent Roll (Rev / OSF),3.614772991288644e-13,Occupancy
Annual Cap Rate,3.4397201765610095e-13,Occupancy
Renewal Conversion,3.2570664769165094e-13,Occupancy
Signed Renewal Leases per Unit,3.229861089923997e-13,Occupancy
Rate Change (Trade Out),2.929679937813761e-13,Occupancy
New Lease Applications per Unit,2.617279176102429e-13,Occupancy
YoY Revenue Change (Rev / ASF),2.598993255112443e-13,Occupancy
New Lease Rate Change (Trade Out),2.5638999321693513e-13,Occupancy
YoY Rent Roll Change (Rev / OSF),2.385512988362888e-13,Occupancy
Renewal Lease Term,2.3217204875562933e-13,Occupancy
NOI per Unit,1.3704814509098308e-13,Occupancy
Utilities per Unit,1.152636313522599e-13,Occupancy
Leads (Guest Cards) per Unit,8.855290837192236e-14,Occupancy
Administrative Expenses %,8.374068144562543e-14,Occupancy
NOI % of Revenue,8.245863688634453e-14,Occupancy
Marketing Expenses per Unit,8.118583885395334e-14,Occupancy
Taxes %,7.936910339460728e-14,Occupancy
Expense % of Revenue,7.665381610429654e-14,Occupancy
Expense per Unit,7.107809432031817e-14,Occupancy
YoY Expense Change per Unit (%),6.111449191015469e-14,Occupancy
Administrative Expenses per Unit,5.986553030833027e-14,Occupancy
Insurance per Unit,5.5060267949703153e-14,Occupancy
Payroll and Related Expenses per Unit,5.183290361823736e-14,Occupancy
YoY Noi Change per Unit (%),5.06134546377657e-14,Occupancy
Turnover Costs per Unit,5.0335483663079863e-14,Occupancy
Turnover Costs %,4.816697389841884e-14,Occupancy
Utilities %,4.7291777263531255e-14,Occupancy
Taxes per Unit,4.550067148211644e-14,Occupancy
Management Fees %,4.276573713414682e-14,Occupancy
Annual Total Permits,3.9119905302819777e-14,Occupancy
Operating and Maintenance per Unit,3.8673012698621574e-14,Occupancy
Annual Single-Family Permits,3.7145906709879864e-14,Occupancy
YoY Employment Change (#),3.620915070378601e-14,Occupancy
YoY Multifamily Permits Change,3.3955065621673846e-14,Occupancy
Payroll and Related Expenses %,3.262438113759709e-14,Occupancy
Marketing Expenses %,3.250019709810701e-14,Occupancy
MoM Employment Change (#),2.936506208921775e-14,Occupancy
Management Fees per Unit,2.8042761181676454e-14,Occupancy
Insurance %,2.61819816237953e-14,Occupancy
MoM Employment Change (%),2.59802852712835e-14,Occupancy
Monthly Total Permits,2.3644295710339326e-14,Occupancy
QoQ Employment Change (%),2.0579463114859913e-14,Occupancy
Quarterly Multifamily Permits,1.784381280318889e-14,Occupancy
MoM Total Permits Change,1.6026093749070347e-14,Occupancy
Quarterly Total Permits,1.3090290510340232e-14,Occupancy
QoQ Total Permits Change,1.222386122675309e-14,Occupancy
Monthly Single-Family Permits,1.1514014809150674e-14,Occupancy
Operating and Maintenance %,1.142793619506208e-14,Occupancy
Monthly Multifamily Permits,1.006533653651128e-14,Occupancy
MoM Single-Family Permits Change,8.887752242579632e-15,Occupancy
QoQ Employment Change (#),7.425387436773802e-15,Occupancy
YoY Employment Change (%),6.47252223950391e-15,Occupancy
Quarterly Single-Family Permits,6.030369813763441e-15,Occupancy
YoY Total Permits Change,5.913069908023384e-15,Occupancy
QoQ Single-Family Permits Change,5.27759006364463e-15,Occupancy
QoQ Multifamily Permits Change,5.248539694136004e-15,Occupancy
Total Employment,4.582755159272425e-15,Occupancy
MoM Multifamily Permits Change,3.0292528221629e-15,Occupancy
YoY Single-Family Permits Change,1.405648266283974e-15,Occupancy
Niche_2020+,4.0488214002794855e-16,Occupancy
Niche_1970s,2.5539314317088204e-16,Occupancy
Niche_1990s,2.434504981625706e-16,Occupancy
Niche_Pre-1970,1.223220782701621e-16,Occupancy
Annual Multifamily Permits,9.092209989595557e-17,Occupancy
Quarterly Net Inventory,0,Occupancy
Quarterly Net Inventory Ratio,0,Occupancy
Median Rent-to-Income Ratio,0,Occupancy
Quarterly Supply,0,Occupancy
Average Monthly Income,0,Occupancy
Other Expenses per Unit,0,Occupancy
Other Expenses %,0,Occupancy
Quarterly Removals,0,Occupancy
Property Starts,0,Occupancy
Annual Supply,0,Occupancy
Annual Removals,0,Occupancy
Annual Net Supply,0,Occupancy
Annual Property Starts,0,Occupancy
Unit Starts,0,Occupancy
Annual Unit Starts,0,Occupancy
Units Under Construction,0,Occupancy
Annual Demand,0,Occupancy
Annual Net Inventory Ratio,0,Occupancy
Quarterly Demand,0,Occupancy
Concession ($),0.3727238836270872,Percent of Units Offering Concessions
Properties Sampled,0.11805986049505124,Percent of Units Offering Concessions
Year,0.061425265529341806,Percent of Units Offering Concessions
Annual Properties Sampled,0.058755772,Percent of Units Offering Concessions
YoY Effective Rent Change 1,0.049255244,Percent of Units Offering Concessions
Effective RPSF,0.031050501,Percent of Units Offering Concessions
Average Year Built of Sample,0.028660536,Percent of Units Offering Concessions
YoY Asking Rent Change 1,0.026475396,Percent of Units Offering Concessions
ZIP Code,0.020287404118836276,Percent of Units Offering Concessions
Annual Units Sampled,0.020202362869906496,Percent of Units Offering Concessions
Average Unit Size (SF),0.018466437468052495,Percent of Units Offering Concessions
Percent Sampled,0.018369611808118497,Percent of Units Offering Concessions
Units Sampled,0.017580932,Percent of Units Offering Concessions
Effective Rent,0.017277949,Percent of Units Offering Concessions
Asking RPSF,0.016320091050239405,Percent of Units Offering Concessions
Concession (% of Asking Rent),0.016293763212522457,Percent of Units Offering Concessions
Asking Rent,0.010418202367348384,Percent of Units Offering Concessions
Effective Rent Change 1,0.008381369,Percent of Units Offering Concessions
Units Sampled 1,0.007963175,Percent of Units Offering Concessions
Yoy Asking Rent Change,0.007720374,Percent of Units Offering Concessions
Ora Score,0.007404349,Percent of Units Offering Concessions
YoY Effective Rent Change,0.007043032,Percent of Units Offering Concessions
Vacancy,0.00630879,Percent of Units Offering Concessions
YoY Occupancy Change 1,0.006051714,Percent of Units Offering Concessions
Asking Rent Change 1,0.00581397,Percent of Units Offering Concessions
Occupancy,0.005380384,Percent of Units Offering Concessions
Properties Sampled 1,0.004783093,Percent of Units Offering Concessions
YoY Occupancy Change,0.004776351,Percent of Units Offering Concessions
Month,0.004513116,Percent of Units Offering Concessions
Effective Rent Change,0.004143319,Percent of Units Offering Concessions
Occupancy Change,0.003969322,Percent of Units Offering Concessions
Asking Rent Change,0.003925853,Percent of Units Offering Concessions
YoY Ora Score Change,0.001618364,Percent of Units Offering Concessions
QoQ Ora Score Change,0.001163997,Percent of Units Offering Concessions
Category_Unit Type,0.000990657,Percent of Units Offering Concessions
Niche_Eff,0.000644364,Percent of Units Offering Concessions
Niche_2 BR,0.000569028,Percent of Units Offering Concessions
Niche_1990s,0.000558626,Percent of Units Offering Concessions
Niche_2000s,0.000470712,Percent of Units Offering Concessions
Niche_1980s,0.000403708,Percent of Units Offering Concessions
Category_Year Built,0.000402182,Percent of Units Offering Concessions
Niche_2010s,0.000358204,Percent of Units Offering Concessions
Niche_3 BR,0.000329191,Percent of Units Offering Concessions
Niche_Mid-Rise,0.00031838,Percent of Units Offering Concessions
Niche_Class B,0.00028319,Percent of Units Offering Concessions
Niche_1970s,0.000232284,Percent of Units Offering Concessions
Niche_Class A,0.000221251,Percent of Units Offering Concessions
Niche_Pre-1970,0.000174764,Percent of Units Offering Concessions
Category_Class,0.000171146,Percent of Units Offering Concessions
Niche_Class C,0.000127233,Percent of Units Offering Concessions
Annual Price per Unit,0.000121512,Percent of Units Offering Concessions
Niche_2020+,0.000101984,Percent of Units Offering Concessions
Annual Cap Rate,9.155965438743592e-05,Percent of Units Offering Concessions
Rent Roll (Rev / OSF),7.945470046607749e-05,Percent of Units Offering Concessions
Existing Units,6.563731623794259e-05,Percent of Units Offering Concessions
Annual Transaction Volume ($),6.448516543864682e-05,Percent of Units Offering Concessions
Revenue (Rev / ASF),5.88079629562511e-05,Percent of Units Offering Concessions
YoY Rent Roll Change (Rev / OSF),5.7941508520492154e-05,Percent of Units Offering Concessions
Annual Transaction Volume (#),5.541535459583417e-05,Percent of Units Offering Concessions
YoY Revenue Change (Rev / ASF),5.2695156225246135e-05,Percent of Units Offering Concessions
Renewal Lease Rate Change (Trade Out),4.330900563944785e-05,Percent of Units Offering Concessions
Niche_High-Rise,4.3107452454044424e-05,Percent of Units Offering Concessions
Renewal Lease Term,3.755774722826168e-05,Percent of Units Offering Concessions
Renewal Conversion,3.400138374528283e-05,Percent of Units Offering Concessions
New Lease Rate Change (Trade Out),3.2738843047052094e-05,Percent of Units Offering Concessions
New Lease Term,3.209625637891456e-05,Percent of Units Offering Concessions
Niche_Low-Rise,2.6980443942100457e-05,Percent of Units Offering Concessions
Rate Change (Trade Out),2.5198602570946493e-05,Percent of Units Offering Concessions
YoY Renewal Conversion Change,2.3843488858799702e-05,Percent of Units Offering Concessions
Average Vacant Days,2.3532935054654532e-05,Percent of Units Offering Concessions
New Lease Applications per Unit,2.338931041082676e-05,Percent of Units Offering Concessions
Signed Renewal Leases per Unit,2.183742319389172e-05,Percent of Units Offering Concessions
Niche_Totals,1.3779653629916918e-05,Percent of Units Offering Concessions
Category_Totals,1.1457211809569133e-05,Percent of Units Offering Concessions
Leads (Guest Cards) per Unit,5.499613881519903e-06,Percent of Units Offering Concessions
Expense per Unit,8.313041936534334e-07,Percent of Units Offering Concessions
Operating and Maintenance per Unit,7.274315152317676e-07,Percent of Units Offering Concessions
Insurance %,6.944886422484452e-07,Percent of Units Offering Concessions
Operating and Maintenance %,6.301104523689301e-07,Percent of Units Offering Concessions
Payroll and Related Expenses %,5.899041816133535e-07,Percent of Units Offering Concessions
Management Fees per Unit,5.769399248311205e-07,Percent of Units Offering Concessions
Turnover Costs %,5.654517713460575e-07,Percent of Units Offering Concessions
Administrative Expenses per Unit,5.306861205881747e-07,Percent of Units Offering Concessions
YoY Noi Change per Unit (%),5.171065801492034e-07,Percent of Units Offering Concessions
Administrative Expenses %,4.867984104909565e-07,Percent of Units Offering Concessions
Expense % of Revenue,4.747416686463912e-07,Percent of Units Offering Concessions
Utilities %,4.708135720061586e-07,Percent of Units Offering Concessions
Management Fees %,4.6200391661236633e-07,Percent of Units Offering Concessions
NOI % of Revenue,4.551499858373727e-07,Percent of Units Offering Concessions
Taxes %,4.354935875679659e-07,Percent of Units Offering Concessions
YoY Expense Change per Unit (%),4.2213789043689564e-07,Percent of Units Offering Concessions
Taxes per Unit,3.8067734117670064e-07,Percent of Units Offering Concessions
Utilities per Unit,3.794151067838591e-07,Percent of Units Offering Concessions
Marketing Expenses per Unit,3.79196082673832e-07,Percent of Units Offering Concessions
Payroll and Related Expenses per Unit,3.451641404021859e-07,Percent of Units Offering Concessions
Turnover Costs per Unit,3.27967027921948e-07,Percent of Units Offering Concessions
Marketing Expenses %,2.871840279212489e-07,Percent of Units Offering Concessions
Insurance per Unit,2.8151752228535e-07,Percent of Units Offering Concessions
